,city_name,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
263,Aswān,24.0934,32.907,58.87,37.0,0.0,11.07,EG,1617073677.0
264,Hearst,49.6835,-83.6665,33.8,51.0,100.0,10.36,CA,1617073677.0
265,Yoichi,43.2039,140.7703,55.0,54.0,75.0,18.41,JP,1617073678.0
266,Aykhal,66.0,111.5,22.75,89.0,100.0,6.78,RU,1617073678.0
267,Mahibadhoo,3.7833,72.9667,82.45,74.0,100.0,10.94,MV,1617073678.0
269,Shingū,33.7333,135.9833,66.2,68.0,75.0,5.75,JP,1617073679.0
270,Aitape,-3.1374,142.3475,83.7,72.0,100.0,4.85,PG,1617073679.0
271,Maragogi,-9.0122,-35.2225,76.91,89.0,84.0,5.77,BR,1617073680.0
273,Belomorsk,64.5232,34.7668,35.06,96.0,100.0,16.73,RU,1617073680.0
274,Paraíso,9.8383,-83.8656,71.6,73.0,0.0,12.66,CR,1617073680.0
275,Taltal,-25.4,-70.4833,64.87,77.0,5.0,3.91,CL,1617073681.0
276,Omaruru,-21.4333,15.9333,63.75,77.0,100.0,13.53,NA,1617073681.0
277,Nelipyno,48.561,23.0315,45.0,74.0,100.0,1.07,UA,1617073682.0
278,Kemijärvi,66.7131,27.4306,33.35,96.0,100.0,8.93,FI,1617073682.0
280,Vao,-22.6667,167.4833,78.24,71.0,100.0,7.05,NC,1617073683.0
281,Bandarbeyla,9.4942,50.8122,76.3,66.0,98.0,4.5,SO,1617073683.0
282,Bourail,-21.5667,165.4833,84.72,53.0,95.0,11.99,NC,1617073683.0
283,Grindavik,63.8424,-22.4338,28.4,74.0,75.0,16.11,IS,1617073684.0
284,Sur,22.5667,59.5289,84.63,35.0,1.0,1.39,OM,1617073684.0
285,Kuytun,54.3419,101.5036,33.26,86.0,100.0,11.99,RU,1617073504.0
286,Pangody,65.85,74.4859,6.75,93.0,100.0,10.29,RU,1617073684.0
287,Harper,4.375,-7.7169,77.61,87.0,9.0,3.13,LR,1617073685.0
288,São João da Barra,-21.6403,-41.0511,77.04,90.0,99.0,8.28,BR,1617073685.0
289,Harrismith,-28.2728,29.1295,47.82,89.0,1.0,3.04,ZA,1617073686.0
290,Sabha,27.0377,14.4283,57.42,35.0,2.0,8.68,LY,1617073686.0
291,Unity,52.4501,-109.1682,16.84,83.0,100.0,27.36,CA,1617073686.0
292,Xishan,27.6667,113.5,71.6,78.0,40.0,4.47,CN,1617073687.0
293,Sterling,39.0062,-77.4286,44.01,70.0,1.0,2.84,US,1617073464.0
294,Lagoa,39.05,-27.9833,57.99,75.0,100.0,1.92,PT,1617073443.0
